id,weight_kg,body_mass_percentage,log_date,logged_at,created_at,updated_at,log_date_readable,logged_at_readable,created_at_readable,updated_at_readable
39,100.90,34.70,2025-10-02,2025-10-02 03:55:16.375000+00:00,2025-10-02 03:55:16.317000+00:00,2025-10-02,2025-10-02,2025-10-02 03:55:16,2025-10-02 03:55:16,2025-10-02
40,100.50,34.70,2025-10-03,2025-10-03 03:37:02.324000+00:00,2025-10-03 03:37:02.059000+00:00,2025-10-03,2025-10-03,2025-10-03 03:37:02,2025-10-03 03:37:02,2025-10-03
41,99.65,34.50,2025-10-04,2025-10-04 06:51:31.475000+00:00,2025-10-04 06:51:31.047000+00:00,2025-10-04,2025-10-04,2025-10-04 06:51:31,2025-10-04 06:51:31,2025-10-04
42,99.40,34.30,2025-10-05,2025-10-05 06:13:24.743000+00:00,2025-10-05 06:13:25.024000+00:00,2025-10-05,2025-10-05,2025-10-05 06:13:24,2025-10-05 06:13:25,2025-10-05
43,100.60,34.30,2025-10-06,2025-10-06 04:19:59.009000+00:00,2025-10-06 04:19:58.774000+00:00,2025-10-06,2025-10-06,2025-10-06 04:19:59,2025-10-06 04:19:58,2025-10-06
44,100.40,34.60,2025-10-07,2025-10-07 05:06:14.196000+00:00,2025-10-07 05:06:13.793000+00:00,2025-10-07,2025-10-07,2025-10-07 05:06:14,2025-10-07 05:06:13,2025-10-07
45,101.60,35.00,2025-10-10,2025-10-10 04:42:15.067000+00:00,2025-10-10 04:42:14.839000+00:00,2025-10-10,2025-10-10,2025-10-10 04:42:15,2025-10-10 04:42:14,2025-10-10
46,100.60,34.70,2025-10-11,2025-10-11 08:36:33.532000+00:00,2025-10-11 08:36:33.667000+00:00,2025-10-11,2025-10-11,2025-10-11 08:36:33,2025-10-11 08:36:33,2025-10-11
47,101.50,35.00,2025-10-13,2025-10-13 08:21:32.749000+00:00,2025-10-13 08:21:32.562000+00:00,2025-10-13,2025-10-13,2025-10-13 08:21:32,2025-10-13 08:21:32,2025-10-13
48,101.40,34.70,2025-10-15,2025-10-15 01:26:23.298000+00:00,2025-10-15 01:26:23.307000+00:00,2025-10-15,2025-10-15,2025-10-15 01:26:23,2025-10-15 01:26:23,2025-10-15
49,100.70,34.70,2025-10-16,2025-10-16 04:27:10.202000+00:00,2025-10-16 04:27:10.064000+00:00,2025-10-16,2025-10-16,2025-10-16 04:27:10,2025-10-16 04:27:10,2025-10-16
50,101.40,34.90,2025-10-17,2025-10-17 07:49:29.779000+00:00,2025-10-17 07:49:29.892000+00:00,2025-10-17,2025-10-17,2025-10-17 07:49:29,2025-10-17 07:49:29,2025-10-17
52,100.50,34.70,2025-10-18,2025-10-18 09:43:02.745000+00:00,2025-10-18 09:43:02.768000+00:00,2025-10-18,2025-10-18,2025-10-18 09:43:02,2025-10-18 09:43:02,2025-10-18
53,100.60,34.80,2025-10-19,2025-10-19 09:43:44.738000+00:00,2025-10-19 09:43:44.623000+00:00,2025-10-19,2025-10-19,2025-10-19 09:43:44,2025-10-19 09:43:44,2025-10-19
54,100.30,34.80,2025-10-21,2025-10-21 02:58:46.203000+00:00,2025-10-21 02:58:45.833000+00:00,2025-10-21,2025-10-21,2025-10-21 02:58:46,2025-10-21 02:58:45,2025-10-21
55,99.45,34.30,2025-10-22,2025-10-22 03:46:06.371000+00:00,2025-10-22 03:46:06.347000+00:00,2025-10-22,2025-10-22,2025-10-22 03:46:06,2025-10-22 03:46:06,2025-10-22
56,99.45,34.50,2025-10-23,2025-10-23 07:06:43.460000+00:00,2025-10-23 07:06:43.172000+00:00,2025-10-23,2025-10-23,2025-10-23 07:06:43,2025-10-23 07:06:43,2025-10-23
57,99.65,35.00,2025-10-24,2025-10-24 02:29:03.224000+00:00,2025-10-24 02:29:02.824000+00:00,2025-10-24,2025-10-24,2025-10-24 02:29:03,2025-10-24 02:29:02,2025-10-24
